"figure_id","page_url","component_type","source_data_file","caption_text"
"fig-agtech-team-comparison","/chapters/agricultural-technology/","PWLineChart","agtech/agtech_strategies.json; agtech/agtech_team_comparison.json","Average number of inventors per patent for agricultural versus non-agricultural utility patents, 1976-2025. Agricultural patent teams have consistently been smaller than non-AgTech teams, though the gap has narrowed over time as agricultural innov..."
"fig-agtech-assignee-type","/chapters/agricultural-technology/","PWAreaChart","agtech/agtech_quality.json; agtech/agtech_team_comparison.json","Distribution of agricultural patent assignees by type over time. Corporate assignees dominate, but the presence of universities and government entities reflects the enduring role of the land-grant university system and public agricultural research..."
"fig-agtech-cr4","/chapters/agricultural-technology/","PWLineChart","","CR4 (four-firm concentration ratio) computed as the sum of the top 4 organizations' annual patent counts divided by total domain patents. The 2014 peak reflects the dominance of large agricultural conglomerates. Concentration has decreased modestl..."
"fig-agtech-entropy","/chapters/agricultural-technology/","PWLineChart","","Normalized Shannon entropy of subfield patent distributions. The steady increase from 0.73 to above 0.90 indicates that agricultural patenting has diversified from a moderately diverse base into precision agriculture, soil science, and agricultura..."
"fig-agtech-velocity","/chapters/agricultural-technology/","PWBarChart","","Mean patents per active year for top organizations grouped by entry decade. Only cohorts with three or more organizations are shown. The 4.4x velocity increase from 1970s to 2000s entrants suggests the domain has become substantially more accessib..."
"fig-agtech-filing-vs-grant","/chapters/agricultural-technology/","PWLineChart","","Agricultural technology exhibits one of the tightest filing-to-grant lags among ACT 6 domains, with grant peaks closely following filing peaks. This pattern reflects relatively shorter examination times for agricultural patents compared to softwar..."
"fig-ai-patents-annual-count","/chapters/ai-patents/","PWLineChart","chapter11/ai_patents_per_year.json","Annual count and share of utility patents classified under AI-related CPC codes (G06N, G06F18, G06V, G10L15, G06F40), 1976-2025. The most prominent pattern is the exponential increase beginning around 2012, coinciding with advances in deep learnin..."
"fig-ai-patents-share","/chapters/ai-patents/","PWLineChart","chapter11/ai_patents_per_year.json","Percentage of all utility patents classified under AI-related CPC codes. The upward trend indicates that AI patenting growth is not merely tracking overall patent growth but represents a disproportionate concentration of inventive effort."
"fig-ai-entrant-incumbent","/chapters/ai-patents/","PWAreaChart","","Entrants are assignees filing their first AI patent in a given year. Incumbents had at least one prior-year patent. Grant year shown."
"fig-ai-patents-subfields","/chapters/ai-patents/","PWAreaChart","","Patent counts by AI subfield over time, based on CPC classifications. The data reveal that neural networks/deep learning and machine learning have driven the recent growth, surpassing earlier subfields including computer vision, knowledge-based sy..."
"fig-ai-patents-top-assignees","/chapters/ai-patents/","PWBarChart","","Organizations ranked by total AI-related patents, 1976-2025. The data indicate a concentration among large technology firms with substantial computational infrastructure and data assets."
"fig-ai-patents-org-rankings","/chapters/ai-patents/","PWRankHeatmap","","Annual ranking of the top 15 organizations by AI patent grants, 2000-2025. Darker cells indicate higher rank (more patents). The data reveal rapid convergence of multiple firms since 2012 as advances in deep learning attracted investment from acro..."
"fig-ai-patents-top-inventors","/chapters/ai-patents/","PWBarChart","chapter11/ai_geography.json; chapter11/ai_team_comparison.json","Primary inventors ranked by total AI-related patents, 1976-2025. The distribution exhibits pronounced skewness, with a small number of highly productive individuals accounting for a disproportionate share of total AI patent output."
"fig-ai-patents-by-country","/chapters/ai-patents/","PWBarChart","chapter11/ai_top_assignees.json","Countries ranked by total AI-related patents based on primary inventor location. The United States maintains a substantial lead, while the strong presence of Japan, China, and South Korea indicates significant Asian investment in AI-driven electro..."
"fig-ai-patents-by-state","/chapters/ai-patents/","PWBarChart","chapter11/ai_top_assignees.json; chapter11/ai_top_inventors.json","US states ranked by total AI-related patents based on primary inventor location. California's substantial lead is consistent with agglomeration effects, where proximity to talent pools, venture capital, and established AI research communities crea..."
"fig-ai-patents-quality","/chapters/ai-patents/","PWLineChart","chapter11/ai_entrant_incumbent.json; chapter11/ai_top_inventors.json","Average claims, backward citations, and technology scope for AI-related patents by year. Backward citations peaked around 2014 before declining in recent years, while technology scope has risen, suggesting that AI patents are becoming increasingly..."
"fig-ai-quality-bifurcation","/chapters/ai-patents/","PWLineChart","chapter11/ai_entrant_incumbent.json; chapter11/ai_top_inventors.json","Top decile computed relative to all utility patents in the same grant year and primary CPC section. Rising share indicates domain quality outpacing the system; falling share indicates dilution."
"fig-ai-patents-gpt-diffusion","/chapters/ai-patents/","PWLineChart","chapter11/ai_quality_bifurcation.json","Percentage of AI patents that also carry CPC codes from each non-AI section (G excluded). Rising lines indicate AI diffusing into that sector. The most notable pattern is the increasing co-occurrence with Human Necessities (Section A, encompassing..."
"fig-ai-gpt-kpi","/chapters/ai-patents/","PWLineChart","chapter11/ai_org_over_time.json; chapter11/ai_quality_bifurcation.json","Distinct sections measures breadth of AI application; falling HHI indicates increasingly even distribution across technology domains. Both trends are consistent with AI functioning as a general-purpose technology."
"fig-ai-patents-team-comparison","/chapters/ai-patents/","PWLineChart","","Average number of inventors per patent for AI-related versus non-AI utility patents, 1976–2025. The data indicate that AI patents consistently involve larger teams, and the gap has widened since 2010, reflecting the increasing complexity of AI sys..."
"fig-ai-patents-assignee-type","/chapters/ai-patents/","PWAreaChart","","Distribution of AI patent assignees by type (corporate, university, government, individual) over time. The data reveal that the corporate share has intensified since 2010 as large technology firms expanded their AI research divisions, while univer..."
"fig-ai-cr4","/chapters/ai-patents/","PWLineChart","","CR4 (four-firm concentration ratio) computed as the sum of the top 4 organizations' annual AI patent counts divided by total AI patents. The steady decline from 25% to 11% reflects the democratization of AI research, with an accelerating drop afte..."
"fig-ai-entropy","/chapters/ai-patents/","PWLineChart","","Normalized Shannon entropy of AI subfield patent distributions. The increase from 0.40 (highly concentrated in symbolic AI) to 0.84 (broadly distributed across machine learning, computer vision, NLP, robotics, and other subfields) represents the l..."
"fig-ai-velocity","/chapters/ai-patents/","PWBarChart","","Mean patents per active year for top AI organizations grouped by entry decade. The 2.0x velocity increase from 1970s to 2010s cohorts reflects the acceleration of AI patenting, coinciding with the rise of cloud infrastructure, pre-trained models, ..."
"fig-ai-filing-vs-grant","/chapters/ai-patents/","PWLineChart","","The substantial gap between AI filing and grant curves during 2015-2020 reflects the rapid acceleration of AI patent applications that overwhelmed examination capacity. Grants continued climbing through 2023 as the backlog was processed."
"fig-av-annual-count","/chapters/autonomous-vehicles/","PWLineChart","av/av_per_year.json","Annual count and share of utility patents classified under AV-related CPC codes (G05D1, B60W, G08G), 1976-2025. The most prominent pattern is the sharp acceleration beginning around 2012, coinciding with Google's self-driving project gaining visib..."
"fig-av-entrant-incumbent","/chapters/autonomous-vehicles/","PWAreaChart","av/av_per_year.json","Entrants are organizations filing their first AV patent in a given year; incumbents are those with prior filings."
"fig-av-share","/chapters/autonomous-vehicles/","PWLineChart","av/av_per_year.json","Percentage of all utility patents classified under AV-related CPC codes. The upward trend indicates that AV patenting growth represents a disproportionate concentration of inventive effort, not merely tracking overall patent expansion."
"fig-av-subfields","/chapters/autonomous-vehicles/","PWAreaChart","","Patent counts by AV subfield over time, based on CPC classifications. Navigation and path planning has consistently been the largest subfield, reflecting the central engineering challenge of route optimization and real-time decision-making. Scene ..."
"fig-av-top-assignees","/chapters/autonomous-vehicles/","PWBarChart","","Organizations ranked by total AV-related patents, 1976-2025. The data indicate a distinctive competitive landscape where traditional automakers and technology companies compete directly, each leveraging distinct capabilities in vehicle engineering..."
"fig-av-org-rankings","/chapters/autonomous-vehicles/","PWRankHeatmap","","Annual ranking of the top 15 organizations by AV patent grants, 2000-2025. Darker cells indicate higher rank (more patents). The data reveal a competitive landscape that intensified substantially after 2012 as technology companies entered the auto..."
"fig-av-top-inventors","/chapters/autonomous-vehicles/","PWBarChart","av/av_geography.json; av/av_team_comparison.json","Primary inventors ranked by total AV-related patents, 1976-2025. The distribution exhibits pronounced skewness, with a small number of highly productive individuals -- many affiliated with major automakers or technology firms -- accounting for a l..."
"fig-av-geography-country","/chapters/autonomous-vehicles/","PWBarChart","av/av_top_assignees.json","Countries ranked by total AV-related patents based on primary inventor location. The United States maintains a substantial lead, while the strong presence of Japan, Germany, and South Korea reflects the global nature of automotive and autonomous d..."
"fig-av-geography-state","/chapters/autonomous-vehicles/","PWBarChart","av/av_top_assignees.json","US states ranked by total AV-related patents based on primary inventor location. California's lead reflects Silicon Valley's technology firms (Waymo, Tesla, Uber ATG), while Michigan's prominence reflects Detroit's automotive R&D heritage -- illus..."
"fig-av-quality","/chapters/autonomous-vehicles/","PWLineChart","av/av_entrant_incumbent.json; av/av_top_inventors.json","Average claims, backward citations, and technology scope for AV-related patents by year. The upward trend in technology scope reflects the inherently interdisciplinary nature of autonomous driving, which spans vehicle control, computer vision, com..."
"fig-av-quality-bifurcation","/chapters/autonomous-vehicles/","PWLineChart","av/av_entrant_incumbent.json; av/av_top_inventors.json","Top-decile citation share measures the proportion of domain patents that rank in the top 10% of all patents by forward citations received."
"fig-av-diffusion","/chapters/autonomous-vehicles/","PWLineChart","","Percentage of AV patents that also carry CPC codes from each non-AV CPC section. Rising lines indicate AV technology diffusing into or drawing upon that sector. The most notable pattern is the increasing co-occurrence with Physics (Section G, enco..."
"fig-av-team-comparison","/chapters/autonomous-vehicles/","PWLineChart","","Average number of inventors per patent for AV-related versus non-AV utility patents, 1976-2025. AV patent team sizes were generally smaller than non-AV patents through the 2010s but have converged in recent years, reaching nearly equal levels by 2..."
"fig-av-assignee-type","/chapters/autonomous-vehicles/","PWAreaChart","","Distribution of AV patent assignees by type (corporate, university, government, individual) over time. The data reveal overwhelming corporate dominance, reflecting the capital-intensive nature of autonomous vehicle R&D, which requires extensive te..."
"fig-av-cr4","/chapters/autonomous-vehicles/","PWLineChart","","CR4 computed as the sum of the top 4 organizations' annual patent counts divided by total AV domain patents. The moderate and relatively stable concentration reflects the dual-industry nature of AV innovation, with both automotive incumbents and t..."
"fig-av-entropy","/chapters/autonomous-vehicles/","PWLineChart","","Normalized Shannon entropy of AV subfield patent distributions. The increase from 0.82 to 0.97 indicates a shift from predominantly navigation-focused patenting to a balanced distribution across path planning, scene understanding, sensor fusion, a..."
"fig-av-velocity","/chapters/autonomous-vehicles/","PWBarChart","","Mean patents per active year for top AV organizations grouped by entry decade. The 1.8x velocity increase reflects the acceleration of AV patenting after Google's self-driving car project (2009) and Tesla's Autopilot development demonstrated comme..."
"fig-av-filing-vs-grant","/chapters/autonomous-vehicles/","PWLineChart","","Autonomous vehicle patents exhibit a substantial filing-to-grant lag, with filings peaking in 2019 while grants continued rising through 2024. The growing divergence reflects both the technical complexity of AV patent examination and the surge of ..."
"fig-biotech-annual-count","/chapters/biotechnology/","PWLineChart","biotech/biotech_per_year.json","Annual count of utility patents classified under biotechnology-related CPC codes, 1976-2025. The growth trajectory reflects successive waves following the Bayh-Dole Act (1980), the Human Genome Project completion (2003), and the CRISPR-Cas9 public..."
"fig-biotech-entrant-incumbent","/chapters/biotechnology/","PWAreaChart","biotech/biotech_per_year.json","Entrants are organizations filing their first biotech patent in a given year; incumbents are those with prior filings."
"fig-biotech-share","/chapters/biotechnology/","PWLineChart","biotech/biotech_per_year.json","Percentage of all utility patents classified under biotechnology-related CPC codes. Biotech's share has fluctuated over time, reflecting how molecular biology has become a stable but significant component of the patent system."
"fig-biotech-subfields","/chapters/biotechnology/","PWAreaChart","","Patent counts by biotechnology subfield over time, based on CPC classifications. The data reveal substantial growth in recombinant DNA and expression vectors since 2012, alongside the expansion of gene editing and nucleic acid detection methods."
"fig-biotech-top-assignees","/chapters/biotechnology/","PWBarChart","","Organizations ranked by total biotechnology-related patents, 1976-2025. The data reveal a distinctive institutional mix: research universities (University of California, Harvard, Stanford), agricultural biotech firms (Monsanto, Pioneer Hi-Bred, Du..."
"fig-biotech-org-rankings","/chapters/biotechnology/","PWRankHeatmap","","Annual ranking of the top 15 organizations by biotechnology patent grants, 1990-2025. Darker cells indicate higher rank (more patents). The data reveal how successive technological waves -- genomics, gene editing, and mRNA -- have altered the comp..."
"fig-biotech-top-inventors","/chapters/biotechnology/","PWBarChart","biotech/biotech_assignee_type.json; biotech/biotech_geography.json","Primary inventors ranked by total biotechnology-related patents, 1976-2025. The distribution reveals that prolific biotech inventors are frequently affiliated with universities and pharmaceutical firms, reflecting the academic origins of many biot..."
"fig-biotech-by-country","/chapters/biotechnology/","PWBarChart","biotech/biotech_top_inventors.json","Countries ranked by total biotechnology-related patents based on primary inventor location. The United States maintains a substantial lead, reflecting its extensive network of research universities, NIH-funded research, and pharmaceutical industry..."
"fig-biotech-by-state","/chapters/biotechnology/","PWBarChart","biotech/biotech_top_inventors.json","US states ranked by total biotechnology-related patents based on primary inventor location. The data reflect the co-location of research universities, NIH-funded medical centers, pharmaceutical companies, and venture capital that characterizes lea..."
"fig-biotech-quality","/chapters/biotechnology/","PWLineChart","biotech/biotech_entrant_incumbent.json; biotech/biotech_top_inventors.json","Average claims, backward citations, and technology scope for biotechnology-related patents by year. The trends suggest that biotech patents have become more complex and interconnected, consistent with the expanding intersection of molecular biolog..."
"fig-biotech-quality-bifurcation","/chapters/biotechnology/","PWLineChart","biotech/biotech_entrant_incumbent.json; biotech/biotech_top_inventors.json","Top-decile citation share measures the proportion of domain patents that rank in the top 10% of all patents by forward citations received."
"fig-biotech-diffusion","/chapters/biotechnology/","PWLineChart","biotech/biotech_org_over_time.json","Percentage of biotechnology patents that also carry CPC codes from each non-biotech CPC section. Rising lines indicate biotech methods diffusing into that sector. The most prominent pattern is the strong and growing co-occurrence with Human Necess..."
"fig-biotech-team-comparison","/chapters/biotechnology/","PWLineChart","biotech/biotech_strategies.json; biotech/biotech_team_comparison.json","Average number of inventors per patent for biotechnology-related versus non-biotech utility patents, 1976-2025. The data indicate that biotech patents have consistently involved larger teams, and the gap has widened as the complexity of genetic en..."
"fig-biotech-assignee-type","/chapters/biotechnology/","PWAreaChart","biotech/biotech_quality.json; biotech/biotech_team_comparison.json","Distribution of biotechnology patent assignees by type (corporate, university, government, individual) over time. Corporate assignees account for 96-98% of biotech patents in the aggregate categorization. While individual universities such as the ..."
"fig-biotech-cr4","/chapters/biotechnology/","PWLineChart","","CR4 computed as the sum of the top 4 organizations&apos; annual patent counts divided by total domain patents. Biotechnology exhibits the lowest peak concentration among ACT 6 domains, reflecting the highly distributed nature of life sciences rese..."
"fig-biotech-entropy","/chapters/biotechnology/","PWLineChart","","Normalized Shannon entropy increased from 0.32 (dominated by recombinant DNA) to 0.94 (broadly distributed across gene editing, expression vectors, cell engineering, and diagnostics). This trajectory reflects the successive waves of innovation fro..."
"fig-biotech-velocity","/chapters/biotechnology/","PWBarChart","","Mean patents per active year for top biotech organizations grouped by entry decade. The 1.4x increase is the smallest among mature ACT 6 domains, suggesting that biotechnology patenting has not become substantially easier over time, consistent wit..."
"fig-biotech-filing-vs-grant","/chapters/biotechnology/","PWLineChart","","Biotechnology patents exhibit a moderate filing-to-grant lag. Filings peaked in 2018 and have since declined, while grants peaked in 2020. The relatively stable grant output despite declining filings reflects the deep pipeline of biotech applicati..."
"fig-blockchain-annual-count","/chapters/blockchain/","PWLineChart","blockchain/blockchain_per_year.json","Annual count and share of utility patents classified under blockchain-related CPC codes, illustrating the pronounced hype-cycle pattern. The acceleration beginning in 2016 coincides with increasing enterprise interest in distributed ledger technol..."
"fig-blockchain-entrant-incumbent","/chapters/blockchain/","PWAreaChart","blockchain/blockchain_quality_bifurcation.json","Entrants are organizations filing their first blockchain patent in a given year; incumbents are those with prior filings."
"fig-blockchain-hype-cycle","/chapters/blockchain/","PWLineChart","blockchain/blockchain_per_year.json; blockchain/blockchain_quality_bifurcation.json","One-and-done share above 80% suggests speculative patenting by firms with no sustained commitment to the technology. The one-and-done share was moderate during 2017-2019 (peaking at 55.6% in 2018) but rose sharply after 2022, reaching 71.7% in 202..."
"fig-blockchain-share","/chapters/blockchain/","PWLineChart","blockchain/blockchain_per_year.json","Percentage of all utility patents classified under blockchain-related CPC codes. Even at its peak, blockchain represents a small fraction of total patenting, underscoring the domain's niche character despite disproportionate media attention."
"fig-blockchain-subfields","/chapters/blockchain/","PWAreaChart","","Patent counts by blockchain subfield over time. The narrow CPC classification scheme yields only two primary subfields -- distributed ledger and consensus technologies versus cryptocurrency and digital money -- reflecting the relatively young and ..."
"fig-blockchain-top-assignees","/chapters/blockchain/","PWBarChart","","Organizations ranked by total blockchain-related patents. The presence of both technology firms (IBM, Intel, Alibaba) and financial services companies (Capital One, Wells Fargo) among active filers distinguishes blockchain from other technology do..."
"fig-blockchain-org-rankings","/chapters/blockchain/","PWRankHeatmap","","Annual ranking of the top 15 organizations by blockchain patent grants, 2014 onward. Darker cells indicate higher rank (more patents). The data reveal significant year-to-year volatility in organizational rankings, consistent with a nascent domain..."
"fig-blockchain-top-inventors","/chapters/blockchain/","PWBarChart","blockchain/blockchain_assignee_type.json; blockchain/blockchain_geography.json","Primary inventors ranked by total blockchain-related patents. The distribution is heavily skewed, with top inventors typically affiliated with the leading organizational patent holders."
"fig-blockchain-by-country","/chapters/blockchain/","PWBarChart","blockchain/blockchain_top_inventors.json","Countries ranked by total blockchain-related patents based on primary inventor location. The United States and China lead, reflecting the concentration of both cryptocurrency development and enterprise blockchain investment in these two economies."
"fig-blockchain-by-state","/chapters/blockchain/","PWBarChart","blockchain/blockchain_geography.json; blockchain/blockchain_top_inventors.json","US states ranked by total blockchain-related patents based on primary inventor location. California's lead is consistent with broader technology sector patterns. Texas, Massachusetts, and Washington rank ahead of New York, suggesting that general ..."
"fig-blockchain-quality","/chapters/blockchain/","PWLineChart","blockchain/blockchain_entrant_incumbent.json; blockchain/blockchain_geography.json","Average claims, backward citations, and technology scope for blockchain-related patents by year. The variability in these metrics reflects the domain's youth and the evolving nature of blockchain inventions."
"fig-blockchain-quality-bifurcation","/chapters/blockchain/","PWLineChart","blockchain/blockchain_entrant_incumbent.json; blockchain/blockchain_geography.json","Top-decile citation share measures the proportion of domain patents that rank in the top 10% of all patents by forward citations received."
"fig-blockchain-diffusion","/chapters/blockchain/","PWLineChart","blockchain/blockchain_org_over_time.json","Percentage of blockchain patents that also carry CPC codes from each non-blockchain section. The data show co-occurrence primarily with Sections A (Human Necessities), B (Performing Operations/Transporting), E (Fixed Constructions), and F (Mechani..."
"fig-blockchain-team-comparison","/chapters/blockchain/","PWLineChart","blockchain/blockchain_diffusion.json; blockchain/blockchain_team_comparison.json","Average number of inventors per patent for blockchain-related versus non-blockchain utility patents. Blockchain teams are generally smaller than non-blockchain patent teams, distinguishing blockchain from domains like AI where specialized patents ..."
"fig-blockchain-assignee-type","/chapters/blockchain/","PWAreaChart","blockchain/blockchain_org_over_time.json; blockchain/blockchain_team_comparison.json","Distribution of blockchain patent assignees by type over time. The overwhelming corporate share is consistent with blockchain's emergence as an enterprise and fintech technology, with relatively little academic or government involvement compared t..."
"fig-blockchain-cr4","/chapters/blockchain/","PWLineChart","","CR4 computed as the sum of the top 4 organizations&apos; annual patent counts divided by total domain patents. The concentration spike during 2018-2020 reflects aggressive patenting by IBM, Alibaba-affiliated entities, and financial services firms..."
"fig-blockchain-entropy","/chapters/blockchain/","PWLineChart","","Normalized Shannon entropy of blockchain subfield distributions. Unlike domains such as AI (10 subfields) or semiconductors (7 subfields), blockchain is classified under only 2 CPC subfields (distributed ledger and cryptocurrency), limiting the di..."
"fig-blockchain-velocity","/chapters/blockchain/","PWBarChart","","Mean patents per active year for top blockchain organizations grouped by entry decade. The 2.0x increase reflects the maturation of enterprise blockchain platforms and the growing sophistication of DeFi and smart contract patent strategies."
"fig-blockchain-filing-vs-grant","/chapters/blockchain/","PWLineChart","","Blockchain's filing-vs-grant divergence is among the most pronounced of all ACT 6 domains. Filings peaked in 2019 and declined sharply, but grants continued rising through 2022 as the examination pipeline processed boom-era applications. This patt..."
"fig-cyber-patents-annual-count","/chapters/cybersecurity/","PWLineChart","cyber/cyber_per_year.json","Annual count of utility patents classified under cybersecurity-related CPC codes, 1976-2025. The most prominent pattern is the sustained growth beginning in the early 2000s, with notable acceleration observed following the Snowden disclosures (201..."
"fig-cyber-patents-share","/chapters/cybersecurity/","PWLineChart","","Percentage of all utility patents classified under cybersecurity-related CPC codes. The upward trend indicates that cybersecurity patenting growth is not merely tracking overall patent growth but represents a genuine reallocation of inventive effort."
